metric,group,width_mm,pod
C_M,high,0.8500000000000001,0.8624503232130137
C_M,high,0.8600000000000001,0.8658087712003322
C_M,high,0.8700000000000001,0.8690976644991537
C_M,high,0.8800000000000001,0.8723178376132135
C_M,high,0.89,0.8754701455922032
C_M,high,0.9,0.8785554621854098
C_M,high,0.91,0.88157467805058
C_M,high,0.92,0.8845286990193475
C_M,high,0.93,0.8874184444202952
C_M,high,0.9400000000000001,0.8902448454604616
C_M,high,0.9500000000000001,0.8930088436658754
C_M,high,0.9600000000000001,0.8957113893814656
C_M,high,0.9700000000000001,0.898353440330492
C_M,high,0.9800000000000001,0.9009359602334472
C_M,high,0.9900000000000001,0.9034599174861955
C_M,high,1.0,0.9059262838969536
C_M,high,1.01,0.9083360334815642
C_M,high,1.02,0.9106901413163702
C_M,high,1.03,0.9129895824478802
C_M,high,1.04,0.915235330858295
C_M,high,1.05,0.9174283584858646
C_M,high,1.06,0.9195696342989598
C_M,high,1.07,0.921660123422657
C_M,high,1.08,0.9237007863165726
C_M,high,1.09,0.925692578002617
C_M,high,1.1,0.9276364473412985
C_M,high,1.11,0.929533336355155
C_M,high,1.12,0.93138417959787
C_M,high,1.1300000000000001,0.9331899035675928
C_M,high,1.1400000000000001,0.9349514261629781
C_M,high,1.1500000000000001,0.936669656180434
C_M,high,1.1600000000000001,0.9383454928510737
C_M,high,1.1700000000000002,0.93997982541586
C_M,high,1.1800000000000002,0.9415735327374384
C_M,high,1.1900000000000002,0.9431274829471639
C_M,high,1.2000000000000002,0.9446425331258408
C_M,high,1.21,0.9461195290167136
C_M,high,1.22,0.9475593047692651
C_M,high,1.23,0.9489626827124019
C_M,high,1.24,0.9503304731556402
C_M,high,1.25,0.951663474216925
C_M,high,1.26,0.9529624716757494
C_M,high,1.27,0.9542282388502804
C_M,high,1.28,0.9554615364972178
C_M,high,1.29,0.9566631127331622
C_M,high,1.3,0.9578337029762941
C_M,high,1.31,0.9589740299072057
C_M,high,1.32,0.960084803447769
C_M,high,1.33,0.9611667207569531
C_M,high,1.34,0.9622204662425484
C_M,high,1.35,0.9632467115877904
C_M,high,1.36,0.9642461157919117
C_M,high,1.37,0.9652193252236945
C_M,high,1.3800000000000001,0.966166973687125
C_M,high,1.3900000000000001,0.967089682498293
C_M,high,1.4000000000000001,0.9679880605727171
C_M,high,1.4100000000000001,0.9688627045223072
C_M,high,1.4200000000000002,0.9697141987612116
C_M,high,1.4300000000000002,0.9705431156198372
C_M,high,1.4400000000000002,0.9713500154663534
C_M,high,1.4500000000000002,0.9721354468350312
C_M,high,1.46,0.9728999465607986
C_M,high,1.47,0.9736440399194232
C_M,high,1.48,0.9743682407727621
C_M,high,1.49,0.9750730517185529
C_M,high,1.5,0.97575896424424
C_M,low,0.05,0.5712474661568289
C_M,low,0.060000000000000005,0.5773523245885961
C_M,low,0.07,0.5834336456742614
C_M,low,0.08,0.5894896806590678
C_M,low,0.09,0.5955187109963682
C_M,low,0.1,0.6015190501892479
C_M,low,0.11,0.6074890455528187
C_M,low,0.12000000000000001,0.6134270798936456
C_M,low,0.13,0.6193315731031054
